timestamp(ms),adc1,adc2,adc3,
"1747073284.583","0.283871","0.364516","3.3",
"1747073284.584","0.290323","0.412903","3.3",
"1747073284.585","0.306452","0.4","3.3",
"1747073284.586","0.325806","0.43871","3.3",
"1747073284.587","0.33871","0.412903","3.3",
"1747073284.591","0.377419","0.374194","3.3",
"1747073284.592","0.370968","0.419355","3.3",
"1747073284.593","0.335484","0.322581","3.3",
"1747073284.594","0.348387","0.358065","3.3",
"1747073284.595","0.319355","0.277419","3.3",
"1747073284.596","0.312903","0.264516","3.3",
"1747073284.599","0.251613","0.209677","0.016129",
"1747073284.6","0.241935","0.254839","0.006452",
"1747073284.601","0.229032","0.219355","0.016129",
"1747073284.602","0.212903","0.174194","0.022581",
"1747073284.603","0.212903","0.183871","0.006452",
"1747073284.604","0.232258","0.196774","0.009677",
"1747073284.605","0.219355","0.212903","0.006452",
"1747073284.606","0.332258","0.219355","0",
"1747073284.607","0.370968","0.225806","0",
"1747073284.608","0.409677","0.258065","0.003226",
"1747073284.609","0.335484","0.264516","0",
"1747073284.61","0.293548","0.280645","0.006452",
"1747073284.611","0.36129","0.296774","0.006452",
"1747073284.612","0.4","0.316129","0.009677",
"1747073284.613","0.396774","0.322581","0.006452",
"1747073284.614","0.409677","0.312903","0.006452",
"1747073284.615","0.422581","0.325806","0.006452",
"1747073284.616","0.387097","0.319355","0.012903",
"1747073284.617","0.451613","0.303226","0",
"1747073284.618","0.409677","0.296774","0.006452",
"1747073284.619","0.445161","0.280645","0.009677",
"1747073284.62","0.409677","0.267742","0.006452",
"1747073284.621","0.406452","0.26129","0.022581",
"1747073284.622","0.412903","0.245161","0",
"1747073284.623","0.406452","0.26129","0",
"1747073284.624","0.345161","0.267742","0.003226",
"1747073284.625","0.387097","0.251613","0.009677",
"1747073284.626","0.4","0.287097","0.009677",
"1747073284.627","0.325806","0.248387","0.022581",
"1747073284.628","0.33871","0.241935","0",
"1747073284.629","0.306452","0.293548","0",
"1747073284.63","0.409677","0.26129","0.003226",
"1747073284.631","0.43871","0.345161","0.009677",
"1747073284.632","0.445161","0.4","0.006452",
"1747073284.633","0.445161","0.312903","0.022581",
"1747073284.634","0.435484","0.406452","0.012903",
"1747073284.635","0.448387","0.435484","0.012903",
"1747073284.636","0.367742","0.348387","0.012903",
"1747073284.637","0.46129","0.383871","0.012903",
"1747073284.638","0.409677","0.370968","0.009677",
"1747073284.639","0.441935","0.435484","0.009677",
"1747073284.64","0.383871","0.432258","0.016129",
"1747073284.641","0.316129","0.43871","0.019355",
"1747073284.642","0.290323","0.416129","0.009677",
"1747073284.643","0.251613","0.409677","0.009677",
"1747073284.644","0.225806","0.425806","0.012903",
"1747073284.645","0.287097","0.445161","0.012903",
"1747073284.646","0.322581","0.409677","0.003226",
"1747073284.647","0.232258","0.332258","0",
"1747073284.648","0.245161","0.409677","0.009677",
"1747073284.649","0.206452","0.33871","0.003226",
"1747073284.65","0.225806","0.406452","0.009677",
"1747073284.651","0.232258","0.370968","0.012903",
"1747073284.652","0.254839","0.409677","0",
"1747073284.653","0.280645","0.406452","0.019355",
"1747073284.654","0.270968","0.4","0.009677",
"1747073284.655","0.258065","0.367742","0.006452",
"1747073284.656","0.3","0.435484","0",
"1747073284.657","0.312903","0.435484","0.012903",
